208,Jacob deGrom TEX,SP
210,Kodai Senga NYM,SP
213,Taj Bradley TB,SP
217,José Berríos TOR,SP
222,Robbie Ray SF,SP
226,Jared Jones PIT,SP
227,Nick Pivetta D,SP
230,Seth Lugo KC,SP
232,MacKenzie Gore  WSH,SP
235,Jack Flaherty DET,SP
237,Sandy Alcantara MIA,SP
239,Nathan Eovaldi TEX,SP
240,Shane McClanahan TB,SP
244,Cristopher Sánchez PHI,SP
245,Tanner Houck  BOS,SP
246,Ryan Pepiot  TB,SP
250,Mitch Keller PIT,SP
251,Chris Bassitt  TOR,SP
258,Zach Eflin BAL,SP
259,Brandon Pfaadt AZ,SP
263,Roki SasakiNA LAD,SP
270,Ronel Blanco HOU,SP
272,Erick Fedde TL,SP
275,Brady Singer CIN,SP
284,Brandon Woodruff MIL,SP
285,Michael Wacha KC,SP
286,Sean Manaea  NYM,SP
287,Ranger Suárez PHI,SP
288,Grayson Rodriguez BAL,SP
289,Spencer Arrighetti HOU,SP
294,Nestor Cortes MIL,SP
297,Luis Severino ATH,SP
298,Jameson Taillon CHC,SP
299,Jesús Luzardo PHI,SP
300,Shane Baz TB,SP
301,Spencer Strider ATL,SP
302,Bryan Woo  EA,SP
303,Yu Darvish D,SP
306,Clarke Schmidt NYY,SP
310,Merrill Kelly AZ,SP
311,Nick Lodolo CIN,SP
315,Jeffrey Springs ATH,SP
316,Brayan Bello BOS,SP
317,Gavin Williams CLE,SP
318,Charlie Morton BAL,SP
320,JP Sears ATH,SP
322,Bowden Francis TOR,SP
323,Reese Olson DET,SP
324,David Peterson NYM,SP
325,José Soriano  LAA,SP
326,Nick Martinez  CIN,SP
333,Walker Buehler BOS,SP
334,Tyler Anderson LAA,SP
338,Max Scherzer  TOR,SP
339,Miles Mikolas  TL,SP
341,Aaron Civale MIL,SP
342,Ryan Weathers MIA,SP
344,S Ohtani (Pitcher) LAD,SP
346,Jake Irvin WSH,SP
350,Jon Gray TEX,SP
351,Dean Kremer  BAL,SP
355,Mitchell Parker WSH,SP
357,Tobias Myers MIL,SP
362,Andrew Heaney PIT,SP
365,Kyle Harrison F,SP
367,Ryan Feltner COL,SP
368,Eduardo Rodriguez AZ,SP
371,Luis L Ortiz CLE,SP
372,Kumar Rocker TEX,SP
373,DJ Herz WSH,SP
374,Kutter Crawford BOS,SP
376,Drew Rasmussen TB,SP
380,Lucas Giolito  BOS,SP
381,Edward Cabrera MIA,SP
382,Zack Littell TB,SP
383,Matthew Boyd CHC,SP
387,Reid Detmers LAA,SP
389,Andrew Abbott  CIN,SP
391,Grant Holmes  ATL,SP
394,AJ Puk AZ,SP
402,Jonathan Cannon CWS,SP
404,Andre Pallante TL,SP
416,Tyler Mahle  TEX,SP
417,David Festa MIN,SP
418,Jordan Hicks F,SP
420,Hayden Birdsong  F,SP
421,Sean Burke CWS,SP
424,Luis Garcia HOU,SP
425,Jose Quintana MIL,SP
427,Justin Verlander F,SP
434,Mitch Spence ATH,SP
435,Martín Pérez CWS,SP
437,Davis Martin CWS,SP
438,M Lorenzen (Pitcher) KC,SP
445,Austin Gomber COL,SP
446,Kyle Freeland COL,SP
447,Tomoyuki Sugano BAL,SP
448,Casey Mize  DET,SP
450,Ben Lively CLE,SP
451,Javier Assad CHC,SP
456,Cody Bradford  TEX,SP
457,Luis Gil NYY,SP
462,Quinn MathewsNA STL,SP
463,Max Meyer MIA,SP
466,Marcus Stroman NYY,SP
468,Germán Márquez COL,SP
469,Cade Povich BAL,SP
477,Joey Cantillo  CLE,SP
478,Simeon Woods Richardson MIN,SP
487,Colin Rea CHC,SP
490,Tyler Holton DET,SP
492,Shane Bieber CLE,SP
494,Jordan Montgomery AZ,SP
501,Cal Quantrill MIA,SP,
